"Nitrogeno","Fosforo","Potasio","Temperatura","Humedad","pH","Lluvia","Cultivo"
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,"Arroz"
67,43,39,26.04371967,84.96907151,5.999969026,186.7536773,"Arroz"
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,"Arroz"
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,"Arroz"
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,"Arroz"
84,50,44,25.48591986,81.40633547,5.935344406,182.6549356,"Arroz"
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,"Arroz"
91,50,40,20.82477109,84.1341879,6.462391607,230.2242223,"Arroz"
93,53,38,26.92995077,81.91411159,7.069172227,290.6793783,"Arroz"
90,44,38,23.83509503,83.88387074,7.473134377,241.2013513,"Arroz"
81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,"Arroz"
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,"Arroz"
60,51,36,22.69657794,82.81088865,6.028321558,256.9964761,"Arroz"
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,"Arroz"
93,47,37,21.53346343,82.14004101,6.500343222,295.9248796,"Arroz"
60,55,45,21.40865769,83.3293191,5.935745417,287.5766935,"Arroz"
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,"Arroz"
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,"Arroz"
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,"Maiz"
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,"Maiz"
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,"Maiz"
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,"Maiz"
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,"Maiz"
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,"Maiz"
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,"Maiz"
89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,"Maiz"
76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,"Maiz"
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,"Maiz"
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,"Maiz"
90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,"Maiz"
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,"Maiz"
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,"Maiz"
66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,"Maiz"
63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,"Maiz"
70,47,17,24.6129118,70.4162444,6.600827017,104.1626147,"Maiz"
61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,"Maiz"
66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,"Maiz"
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,"Maiz"
77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,"Maiz"
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,"Maiz"
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,"Maiz"
83,45,21,18.83344471,58.75082029,5.716222912,79.7532896,"Maiz"
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,"Maiz"
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,"Maiz"
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,"Maiz"
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,"Maiz"
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,"Maiz"
87,54,20,25.61707368,63.4711755,6.576418207,108.8303762,"Maiz"
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,"Maiz"
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,"Maiz"
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,"Maiz"
64,35,23,23.02038334,61.89472002,5.680361038,63.03843397,"Maiz"
60,46,22,24.89364635,65.61418761,6.625404348,87.9298085,"Maiz"
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,"Maiz"
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,"Maiz"
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,"Maiz"
98,35,18,23.79746068,74.82913698,6.252797548,91.76337172,"Maiz"
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,"Maiz"
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,"Maiz"
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,"Maiz"
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,"Maiz"
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,"Maiz"
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,"Maiz"
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,"Maiz"
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,"Maiz"
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,"Maiz"
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,"Maiz"
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,"Maiz"
99,36,20,20.57981887,65.34583901,6.671085817,78.34604471,"Maiz"
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,"Maiz"
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,"Maiz"
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,"Maiz"
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,"Maiz"
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,"Maiz"
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,"Maiz"
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,"Maiz"
66,44,20,19.0781471,69.02298571,6.740000688,80.72515943,"Maiz"
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,"Maiz"
79,45,20,23.80546189,59.24537979,5.715208817,89.9622014,"Maiz"
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,"Maiz"
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,"Maiz"
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,"Maiz"
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,"Maiz"
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,"Maiz"
81,45,23,19.32666088,68.034493,6.192360003,84.22969177,"Maiz"
73,45,21,24.60532218,73.58868502,6.636803223,96.59195302,"Maiz"
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,"Maiz"
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,"Maiz"
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,"Maiz"
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,"Maiz"
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,"Maiz"
94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,"Maiz"
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,"Maiz"
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,"Maiz"
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,"Maiz"
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,"Maiz"
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,"Maiz"
63,42,21,23.26237612,72.33125523,5.798423908,67.10225139,"Maiz"
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,"Maiz"
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,"Maiz"
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,"Maiz"
60,57,24,18.66116213,61.55327249,6.121294041,75.03247667,"Maiz"
71,52,18,25.10787449,55.97732754,5.790770203,78.16077693,"Maiz"
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,"Maiz"
88,38,15,25.08239719,65.92195844,6.455116637,62.49190812,"Maiz"
65,60,22,25.36768364,72.52054555,6.606984086,107.9124111,"Maiz"
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,"Maiz"
78,58,15,25.00933355,67.816568,6.528631266,62.91359494,"Maiz"
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,"Maiz"
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,"Maiz"
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,"Maiz"
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,"Maiz"
87,48,25,18.65396672,61.37879671,6.656730008,93.62039175,"Maiz"
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,"Maiz"
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,"Maiz"
67,35,22,23.30546753,63.24648023,6.385684214,108.7603001,"Maiz"
60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,"Maiz"
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,"Maiz"
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,"Maiz"
40,72,77,17.02498456,16.98861173,7.485996067,88.55123143,"Garbanzo"
23,72,84,19.02061277,17.13159126,6.920251378,79.92698081,"Garbanzo"
39,58,85,17.88776475,15.40589717,5.996932037,68.54932919,"Garbanzo"
22,72,85,18.86805647,15.65809214,6.391173589,88.51048983,"Garbanzo"
36,67,77,18.36952567,19.56381041,7.152811172,79.26357665,"Garbanzo"
32,73,81,20.45078582,15.40312102,5.988992796,92.68373702,"Garbanzo"
58,70,84,20.6543203,16.60820843,6.231049028,74.6631118,"Garbanzo"
59,70,84,17.3348681,18.74926979,7.550808267,82.61734721,"Garbanzo"
42,62,75,18.17912258,18.90426935,7.010570541,81.84997529,"Garbanzo"
28,74,81,18.01272266,18.30968112,8.753795334,81.98568791,"Garbanzo"
58,66,79,20.99373558,19.33470387,8.718192847,93.55280105,"Garbanzo"
43,66,79,19.46233971,15.22538951,7.976607593,74.58565097,"Garbanzo"
58,63,81,19.81344531,14.69765308,6.515499549,78.96514709,"Garbanzo"
23,62,85,18.97424756,19.5161216,8.490127142,80.7108745,"Garbanzo"
27,62,77,18.19737048,14.71070537,6.576415562,70.18185181,"Garbanzo"
28,72,84,18.72963144,19.18197264,6.481783043,71.58010169,"Garbanzo"
50,56,76,20.99502153,19.8601304,7.966605025,73.50734019,"Garbanzo"
39,71,84,20.28155898,16.39535215,8.140825437,82.52339655,"Garbanzo"
25,78,76,17.48042641,15.7559405,7.228963452,66.96980581,"Garbanzo"
31,70,77,20.88818675,14.32313811,6.492546046,90.46228334,"Garbanzo"
26,80,83,17.08498521,16.14565756,7.528599957,71.31007253,"Garbanzo"
25,68,77,20.09340593,15.11279612,7.701446446,85.74904898,"Garbanzo"
31,78,76,17.57212145,14.99927489,8.519975748,89.31050665,"Garbanzo"
60,68,83,19.12065218,18.43475844,6.620900869,85.52950164,"Garbanzo"
59,62,83,18.57665902,19.22008229,8.104396058,72.94940441,"Garbanzo"
22,67,78,17.16606398,14.42457525,6.204090835,72.32667516,"Garbanzo"
36,65,80,18.2872007,16.67921616,6.051091339,74.87445574,"Garbanzo"
59,60,84,19.03025305,18.66725565,7.690962338,94.70992037,"Garbanzo"
54,77,85,17.1418614,17.0662427,7.829211144,83.74606679,"Garbanzo"
43,68,81,17.47809436,17.93253975,6.761599706,78.92060234,"Garbanzo"
28,76,82,20.56601874,14.25803981,6.654425315,83.75937135,"Garbanzo"
42,79,85,17.22385224,15.82069268,6.129533877,76.57580954,"Garbanzo"
32,60,83,19.69141713,19.44225438,8.829273328,91.76071648,"Garbanzo"
22,78,76,17.84851658,19.09172907,8.621662982,76.32470713,"Garbanzo"
31,79,75,18.8202251,16.1074793,8.204862075,89.73119396,"Garbanzo"
28,58,81,17.47500984,16.54314829,6.18042747,93.35034262,"Garbanzo"
57,58,77,18.72649425,17.58406365,7.978996755,81.20176515,"Garbanzo"
49,55,78,18.65580107,16.17772668,7.863113671,81.70769297,"Garbanzo"
46,76,77,18.2356751,19.68538502,6.967843048,83.74879344,"Garbanzo"
54,61,77,18.81198127,15.21618225,6.206582193,77.5429424,"Garbanzo"
38,60,76,18.65054116,17.80852431,8.868741443,77.92798682,"Garbanzo"
59,55,79,20.36720401,16.89574311,8.766128654,82.2545577,"Garbanzo"
36,76,75,18.38120357,16.63805158,8.736337905,70.52056697,"Garbanzo"
57,68,81,17.17012591,17.30457712,8.081095263,72.78624223,"Garbanzo"
35,66,81,19.37101121,15.77458129,6.138243973,85.24819851,"Garbanzo"
35,64,78,17.92845928,14.27327988,7.496645259,85.37378769,"Garbanzo"
52,60,79,19.45339934,18.23490739,8.380185271,75.6317566,"Garbanzo"
27,76,83,19.12829388,14.92241479,6.289614016,89.61857826,"Garbanzo"
57,60,84,19.1034283,17.26184541,6.586777189,75.49101167,"Garbanzo"
52,68,78,17.48504075,16.96070581,6.89655198,86.05078037,"Garbanzo"
43,79,79,19.40751744,18.98030507,7.806747656,80.25064637,"Garbanzo"
44,74,85,20.18649426,19.63719995,7.150681303,78.26039559,"Garbanzo"
24,55,78,17.30287885,15.15405941,6.64919573,75.57790384,"Garbanzo"
29,77,75,17.50361137,15.48083156,7.778591618,72.9446671,"Garbanzo"
20,60,78,18.17234999,14.70085967,6.358740355,90.7760707,"Garbanzo"
56,67,78,17.57445618,16.71826572,8.255450758,77.81891424,"Garbanzo"
37,66,85,20.93175255,18.91295403,6.456148474,78.06910795,"Garbanzo"
49,71,76,19.71098332,17.63879418,6.613072145,85.57925437,"Garbanzo"
59,69,80,19.07937684,17.86754927,8.165359297,69.40619137,"Garbanzo"
20,79,77,18.54988627,16.02542689,7.64867466,76.32565249,"Garbanzo"
24,56,85,18.19903647,17.41333199,6.545888558,80.6405403,"Garbanzo"
51,72,75,18.88852533,14.99451145,7.104224797,80.1113384,"Garbanzo"
57,73,85,18.49311205,14.72115044,7.358099622,91.94595352,"Garbanzo"
22,64,82,19.48974337,17.17260319,6.4740245,87.51312796,"Garbanzo"
52,73,79,17.25769499,18.74943955,7.840339389,94.00287214,"Garbanzo"
29,75,75,19.62416326,18.71483156,7.064790365,88.4585692,"Garbanzo"
44,59,78,20.67526473,19.85388984,7.599033472,84.78344008,"Garbanzo"
41,69,82,20.02381489,16.63294455,6.715587232,68.97806542,"Garbanzo"
52,56,85,20.1187446,14.44228303,6.81712422,88.68168643,"Garbanzo"
34,76,80,20.65691793,15.84572566,7.985417393,65.23811143,"Garbanzo"
42,74,83,19.2582557,14.2804191,7.545258424,65.78042032,"Garbanzo"
34,71,79,17.927806,15.85622899,7.728998197,74.63872762,"Garbanzo"
27,73,79,19.16288268,15.83500655,7.354973451,82.69766829,"Garbanzo"
30,70,79,20.26942271,19.96978871,7.313122235,69.64449182,"Garbanzo"
57,57,75,17.09104223,18.25142068,7.785039076,87.27444866,"Garbanzo"
27,79,82,17.06579293,17.54024066,6.307004923,70.87150577,"Garbanzo"
32,71,85,20.62767492,14.44008871,6.403982316,92.06630306,"Garbanzo"
31,76,82,20.8248451,17.85057083,7.599279991,79.20509212,"Garbanzo"
33,75,84,19.46210401,18.72831993,7.217018459,68.81405149,"Garbanzo"
47,80,77,17.18248372,16.42891834,7.561108006,72.85017344,"Garbanzo"
54,62,80,17.48911699,16.39055394,7.489545074,79.45758333,"Garbanzo"
47,79,78,17.48395377,14.76014523,6.609696734,65.11365631,"Garbanzo"
35,57,83,19.48316794,17.44534641,7.476800943,80.4986291,"Garbanzo"
53,73,77,19.71359733,18.09665739,7.325451279,73.64476535,"Garbanzo"
45,61,78,19.48649305,16.06240074,6.489389282,81.5284269,"Garbanzo"
37,78,79,19.95264829,14.82633099,7.786366322,88.6810311,"Garbanzo"
30,75,81,19.41789736,16.80472243,6.408437886,68.4951189,"Garbanzo"
37,55,82,19.45591848,18.02235902,8.423873703,78.44910564,"Garbanzo"
53,65,76,20.19137759,16.41998269,8.719960893,77.33795356,"Garbanzo"
22,60,85,18.8392908,14.74071856,7.811997977,94.78189594,"Garbanzo"
60,61,78,20.71219282,19.83643308,6.317153205,94.03659867,"Garbanzo"
42,67,77,18.99424448,15.9362937,7.114405288,78.69707199,"Garbanzo"
39,76,76,19.96837462,15.57324389,8.135900726,69.15759062,"Garbanzo"
35,63,76,17.81564548,17.60756635,7.714153038,90.82097601,"Garbanzo"
30,65,82,20.71424384,15.27824066,7.103798069,76.77888672,"Garbanzo"
57,56,78,17.34150229,18.75626255,8.861479668,67.9545435,"Garbanzo"
48,65,78,17.43732714,14.33847406,7.861128148,73.0926704,"Garbanzo"
36,56,83,18.89780215,19.76182946,7.4526709,69.09512477,"Garbanzo"
40,58,75,18.59190771,14.77959596,7.168096055,89.60982451,"Garbanzo"
49,69,82,18.31561493,15.36143547,7.26311855,81.78710463,"Garbanzo"
32,73,81,20.45078582,15.40312102,5.988992796,92.68373702,"Garbanzo"
58,70,84,20.6543203,16.60820843,6.231049028,74.6631118,"Garbanzo"
56,79,15,29.48439992,63.19915325,7.454532137,71.89090748,"GranoNegro"
25,62,21,26.73433965,68.13999721,7.040056094,67.15096376,"GranoNegro"
42,61,22,26.27274407,62.28814857,7.418650668,70.23207557,"GranoNegro"
42,73,25,34.03679184,67.21113844,6.501869314,73.23573601,"GranoNegro"
44,58,18,28.03644051,65.06601664,6.814410928,72.49507741,"GranoNegro"
50,55,16,28.81460716,65.33538112,7.581442888,62.26242533,"GranoNegro"
35,72,21,34.03619494,64.28791388,7.741418772,66.85510868,"GranoNegro"
30,64,20,33.8642935,61.57072498,6.573531614,68.02199825,"GranoNegro"
27,64,21,32.84213012,68.68401492,7.543804223,73.67166182,"GranoNegro"
50,74,17,27.10053268,63.36085585,6.5408208,73.84949872,"GranoNegro"
39,73,24,25.65842532,61.18235808,7.22405917,69.28607828,"GranoNegro"
57,67,25,32.34744009,66.61452812,7.551364319,64.55882254,"GranoNegro"
52,63,19,29.58949031,68.32176769,6.928898659,67.53021213,"GranoNegro"
55,66,22,30.91219459,68.79427388,7.747775263,66.63830637,"GranoNegro"
51,56,18,28.12787838,64.2097765,6.706505915,70.86340755,"GranoNegro"
36,66,15,30.08545364,69.34811988,6.668238556,67.1367443,"GranoNegro"
59,55,19,31.74379487,62.51007687,7.332375138,68.97097538,"GranoNegro"
50,58,23,27.81326852,62.50460464,7.596802025,69.75555541,"GranoNegro"
30,65,25,32.88733849,64.59457409,7.70650895,71.50569456,"GranoNegro"
20,62,18,29.36358721,64.98742947,7.366542647,61.91208707,"GranoNegro"
58,71,15,27.82592799,67.5861883,6.919243702,74.01229707,"GranoNegro"
25,71,24,28.49538735,60.44848407,7.187721818,74.91559514,"GranoNegro"
52,71,16,27.74274761,68.53997144,7.075886472,71.78615328,"GranoNegro"
40,63,18,30.41588462,67.66323804,6.74441168,63.02473185,"GranoNegro"
20,60,25,27.3254209,69.09047809,6.726469088,61.19250859,"GranoNegro"
48,61,21,30.28496619,61.69295127,6.628264883,65.62859526,"GranoNegro"
49,68,22,28.56840626,61.53278622,7.127064207,63.49726331,"GranoNegro"
48,62,15,25.36586097,66.6379724,7.538631462,65.81655892,"GranoNegro"
32,66,17,34.9466155,65.26774011,7.162357641,70.1415139,"GranoNegro"
21,63,22,25.09737391,67.72837887,6.859409487,74.61649888,"GranoNegro"
20,72,19,32.47648301,64.34848735,7.397190844,65.820457,"GranoNegro"
25,65,21,33.86351172,68.59232289,6.880245789,69.24464096,"GranoNegro"
41,78,21,25.19857725,60.37332688,6.581313137,70.88787207,"GranoNegro"
53,67,17,31.77681682,69.01852894,7.296972161,61.46892873,"GranoNegro"
39,60,21,34.89814946,63.59948557,6.97297656,64.72797143,"GranoNegro"
25,76,17,31.74105409,68.63525428,7.241148507,62.3061735,"GranoNegro"
21,78,19,27.16159076,66.76017239,6.92009048,69.85112265,"GranoNegro"
57,60,17,26.23773129,67.88521396,7.504608385,73.58663968,"GranoNegro"
56,75,15,30.20157245,60.06534859,7.152272256,66.37171179,"GranoNegro"
49,72,15,31.55846339,67.83563765,7.137004749,74.86960831,"GranoNegro"
24,80,19,29.67892453,69.0854554,6.808041722,65.66436565,"GranoNegro"
49,76,18,27.05365239,67.7017527,7.393631868,60.4693835,"GranoNegro"
28,68,19,34.63880966,61.38597868,7.69950698,72.43169115,"GranoNegro"
55,78,21,33.39438752,62.93692886,6.602888249,63.57445989,"GranoNegro"
50,64,25,28.84079155,63.37230676,6.734447425,70.25496749,"GranoNegro"
34,80,19,31.49338309,63.0563645,6.521217963,71.48327008,"GranoNegro"
20,68,23,25.54960633,63.95425534,7.707332484,63.1830529,"GranoNegro"
55,67,16,34.37329112,69.69366426,6.596719015,70.27184748,"GranoNegro"
23,70,15,34.6008247,63.11296779,7.403623355,60.41790253,"GranoNegro"
53,74,15,29.43463808,64.94329356,7.517097,72.17818157,"GranoNegro"
26,67,16,29.10713092,67.90577375,7.17620823,67.83345933,"GranoNegro"
33,80,22,28.57006111,65.71765781,6.593961761,70.0866434,"GranoNegro"
37,79,19,27.54384835,69.3478631,7.143942758,69.40878198,"GranoNegro"
33,75,21,33.04687968,68.93875631,6.690655045,62.30278274,"GranoNegro"
22,55,20,33.95309131,69.96100028,7.423530351,61.16350463,"GranoNegro"
20,68,17,30.11873003,60.11680815,6.578714843,71.72980375,"GranoNegro"
43,68,20,29.57812712,66.17587668,7.497469256,69.43895491,"GranoNegro"
44,76,22,27.26458947,68.01232937,7.775306272,68.91754359,"GranoNegro"
34,60,16,31.35730791,64.24992106,7.322555223,63.85668948,"GranoNegro"
21,72,17,31.52104732,66.55723677,7.580527339,61.71111448,"GranoNegro"
25,68,19,29.39982732,64.25510719,7.108450121,67.47677295,"GranoNegro"
41,62,15,29.38400259,64.14928485,7.358974541,65.24194361,"GranoNegro"
28,65,23,28.38686534,61.88871127,7.405176138,74.24459122,"GranoNegro"
35,64,15,28.47442276,63.53604453,6.500144962,69.5274407,"GranoNegro"
